Date,Fund1,Fund2,Fund3
01/01/2019,595862.8445,9925373.571,2497628.716
02/01/2019,595862.8445,9925373.571,2497628.716
03/01/2019,588075.5035,9934078.033,2497628.716
04/01/2019,588235.1705,9943664.501,2497608.935
07/01/2019,588308.2195,9950479.775,2498492.073
08/01/2019,588220.9075,9956005.149,2500697.867
09/01/2019,588378.3535,9967793.881,2500697.867
10/01/2019,588494.1875,9974111.259,2500697.867
11/01/2019,588683.2405,9977506.699,2500697.867
14/01/2019,587699.6895,9978751.527,2502190.769
15/01/2019,587646.3675,9996720.754,2502190.769
16/01/2019,584444.2015,9996697.611,2502862.328
17/01/2019,584486.0285,10010781.83,2502862.328
18/01/2019,584461.8015,10023222.65,2502862.328
21/01/2019,582905.1495,10029446.53,2502862.328
22/01/2019,583016.8625,10029772.23,2502862.328
23/01/2019,583183.5725,10034538.06,2502548.531
24/01/2019,583214.0625,10053488.59,2486351.027
25/01/2019,583252.2475,10060915.79,2486351.027
28/01/2019,583354.9175,10067552.3,2486351.027
29/01/2019,583287.2715,10079253.61,2486351.027
30/01/2019,583362.8105,10080791.25,2486351.027
31/01/2019,582521.9815,10091728.26,2484616.298
01/02/2019,582521.9815,10091728.26,2484616.298
04/02/2019,582561.6095,10109125.14,2484616.298
05/02/2019,582553.4025,10111785.98,2484616.298
06/02/2019,582847.0535,10113163.01,2486568.479
07/02/2019,582847.0535,10113163.01,2511808.921
08/02/2019,583190.0525,10127189.13,2511808.921
11/02/2019,583166.3135,10143877.34,2511394.613
12/02/2019,582511.6815,10147698.2,2511394.613
13/02/2019,582539.1165,10131484.42,2512636.132
14/02/2019,582729.2435,10137848.07,2512636.132
15/02/2019,582273.6445,10153606.08,2512636.132
18/02/2019,582512.5335,10154509.56,2512992.194
19/02/2019,582468.8055,10151620.99,2512992.194
20/02/2019,582686.7325,10153645.07,2512992.194
21/02/2019,582719.5865,10157368.93,2512992.194
22/02/2019,582827.9395,10150771.88,2512885.85
25/02/2019,582873.7505,10158824.38,2513923.324
26/02/2019,582869.0895,10162124.28,2513923.324
27/02/2019,583618.7905,10169620.66,2514848.622
28/02/2019,583653.0895,10176160.7,2513120.349
